"term"	"medcodeid"	"originalreadcode"	"cleansedreadcode"	"snomedctconceptid"	"snomedctdescriptionid"	"release"	"emiscodecategoryid"
"Diabetic peripheral angiopathy"	"302011"	"G73y0"	"G73y000"	"127014009"	"302011"	""	32
"Diabetic retinopathy"	"9093013"	"F420"	"F420.00"	"4855003"	"9093013"	""	32
"Brittle diabetes"	"19931010"	"66AJ1"	"66AJ100"	"11530004"	"19931010"	""	27
"Diabetic amyotrophy"	"65526011"	"F3813-1"	"F381311"	"39058009"	"65526011"	""	32
"Diabetic amyotrophy"	"616921000006113"	"C106-1"	"C106.11"	"39058009"	"65526011"	""	32
"Diabetic cataract"	"73294018"	"F4640"	"F464000"	"43959009"	"73294018"	""	32
"Non-insulin dependent diabetes mellitus"	"73466011"	"C1001-2"	"C100112"	"44054006"	"493773010"	""	32
"Non-insulin dependent diabetes mellitus"	"280571000006116"	"C109"	"C109.00"	"44054006"	"493773010"	""	32
"Diabetic polyneuropathy"	"82373015"	"F372-1"	"F372.11"	"49455004"	"82373015"	""	32
"Proliferative diabetic retinopathy"	"98476015"	"F4201"	"F420100"	"59276001"	"98476015"	""	32
"Diabetes mellitus"	"121589010"	"C10"	"C10..00"	"73211009"	"121589010"	""	32
"Iatrogenic hyperinsulinism"	"149278011"	"C1100"	"C110000"	"90054000"	"1217072011"	""	32
"Iatrogenic hyperinsulinism"	"3963911000006115"	"^ESCTIA396391"	""	"90054000"	"149278011"	""	32
"Insulin coma"	"178800012"	"C110-1"	"C110.11"	"111558006"	"178800012"	""	32
"Type 2 diabetes mellitus"	"197761014"	"C10F"	"C10F.00"	"44054006"	"197761014"	""	32
"Type 2 diabetes mellitus"	"84471000006119"	"C109-2"	"C109.12"	"44054006"	"197761014"	""	32
"Type 1 diabetes mellitus"	"197984010"	"C10E"	"C10E.00"	"46635009"	"197984010"	""	32
"Type 1 diabetes mellitus"	"84281000006115"	"C108-2"	"C108.12"	"46635009"	"197984010"	""	32
"Diabetic nephropathy"	"205225016"	"C104-1"	"C104.11"	"127013003"	"205225016"	""	32
"Diabetes care by hospital only"	"216195015"	"66AU"	"66AU.00"	"243860001"	"364695019"	""	1
"Diabetic diet"	"250447011"	"13B1"	"13B1.00"	"160670007"	"250447011"	""	17
"Glucose tolerance test indicates diabetes mellitus"	"259365016"	"44V3"	"44V3.00"	"166928007"	"2817641015"	""	34
"Diabetic monitoring"	"264676010"	"66A"	"66A..00"	"170742000"	"264676010"	""	1
"Initial diabetic assessment"	"264677018"	"66A1"	"66A1.00"	"170743005"	"264677018"	""	1
"Follow-up diabetic assessment"	"264678011"	"66A2"	"66A2.00"	"170744004"	"264678011"	""	1
"Diabetic on diet only"	"264679015"	"66A3"	"66A3.00"	"170745003"	"264679015"	""	1
"Diabetic on oral treatment"	"264681018"	"66A4"	"66A4.00"	"170746002"	"264681018"	""	1
"Diabetic on insulin"	"264682013"	"66A5"	"66A5.00"	"170747006"	"264682013"	""	1
"Has seen dietician - diabetes"	"264693010"	"66A8"	"66A8.00"	"170752001"	"264693010"	""	1
"Understands diet - diabetes"	"264695015"	"66A9"	"66A9.00"	"170753006"	"264695015"	""	1
"Fundoscopy - diabetic check"	"264701014"	"66AD"	"66AD.00"	"170757007"	"264701014"	""	1
"Diabetic drug side effects"	"264704018"	"66AG"	"66AG.00"	"170760000"	"264704018"	""	5
"Diabetic treatment changed"	"264705017"	"66AH"	"66AH.00"	"170761001"	"264705017"	""	1
"Conversion to insulin"	"264706016"	"66AH0"	"66AH000"	"170762008"	"264706016"	""	1
"Diabetic - good control"	"264707013"	"66AI"	"66AI.00"	"170763003"	"264707013"	""	1
"Diabetic - poor control NOS"	"264716012"	"66AJz"	"66AJz00"	"268519009"	"401531012"	""	27
"Diabetic - cooperative patient"	"264717015"	"66AK"	"66AK.00"	"170769004"	"264717015"	""	1
"Diabetic-uncooperative patient"	"264718013"	"66AL"	"66AL.00"	"170770003"	"264718013"	""	1
"Diabetic - follow-up default"	"264719017"	"66AM"	"66AM.00"	"170771004"	"264719017"	""	1
"Date diabetic treatment start"	"264720011"	"66AN"	"66AN.00"	"170772006"	"264720011"	""	1
"Diabetes: practice programme"	"264723013"	"66AP"	"66AP.00"	"170774007"	"264723013"	""	1
"Diabetes: shared care programme"	"264724019"	"66AQ"	"66AQ.00"	"170775008"	"264724019"	""	1
"Diabetes management plan given"	"264726017"	"66AR"	"66AR.00"	"170742000"	"264676010"	""	1
"Diabetic annual review"	"264727014"	"66AS"	"66AS.00"	"170777000"	"264727014"	""	1
"Annual diabetic blood test"	"264728016"	"66AT"	"66AT.00"	"170778005"	"264728016"	""	1
"Diabetic monitoring NOS"	"264729012"	"66AZ"	"66AZ.00"	"170742000"	"264676010"	""	1
"Diabetic crisis monitoring"	"282568013"	"8A12"	"8A12.00"	"182780004"	"282568013"	""	32
"Diabetic stabilisation"	"282570016"	"8A13"	"8A13.00"	"182781000"	"282570016"	""	32
"Diabetic emergency hospital admission"	"283544013"	"8H2J"	"8H2J.00"	"183472000"	"3082988012"	""	40
"Non-urgent diabetic admission"	"283584016"	"8H3O"	"8H3O.00"	"183506001"	"283584016"	""	40
"Referral to diabetologist"	"283620017"	"8H4F"	"8H4F.00"	"183530004"	"283620017"	""	40
"Referral to diabetic liaison nurse"	"283709014"	"8H7C"	"8H7C.00"	"308458007"	"451803019"	""	40
"Diabetology D.V. done"	"283938017"	"8HLE"	"8HLE.00"	"183751004"	"283938017"	""	40
"Listed for Diabetology admission"	"283974014"	"8HME"	"8HME.00"	"183781007"	"2668804016"	""	40
"Private referral to diabetologist"	"284124018"	"8HVU"	"8HVU.00"	"183910005"	"284124018"	""	40
"Seen in diabetic clinic"	"285223014"	"9N1Q"	"9N1Q.00"	"185229005"	"285223014"	""	37
"Attends diabetes monitoring"	"285751016"	"9OL1"	"9OL1.00"	"185753003"	"285751016"	""	37
"Refuses diabetes monitoring"	"285752011"	"9OL2"	"9OL2.00"	"185754009"	"285752011"	""	37
"Diabetes monitoring default"	"285753018"	"9OL3"	"9OL3.00"	"185755005"	"285753018"	""	37
"Other specified diabetes mellitus with ketoacidosis"	"292478012"	"C101y"	"C101y00"	"420422005"	"2616611010"	""	32
"Diabetes mellitus NOS with ketoacidosis"	"292479016"	"C101z"	"C101z00"	"420422005"	"2616611010"	""	32
"Diabetes mellitus, juvenile type, with hyperosmolar coma"	"292482014"	"C1020"	"C102000"	"190330002"	"292482014"	""	32
"Diabetes mellitus, adult onset, with hyperosmolar coma"	"292483016"	"C1021"	"C102100"	"190331003"	"292483016"	""	32
"Diabetes mellitus NOS with ketoacidotic coma"	"292489017"	"C103z"	"C103z00"	"420422005"	"2616611010"	""	32
"Other specified diabetes mellitus with renal complications"	"292495016"	"C104y"	"C104y00"	"127013003"	"301016"	""	32
"Diabetes mellitus with nephropathy NOS"	"292496015"	"C104z"	"C104z00"	"127013003"	"301016"	""	32
"Diabetes mellitus NOS with ophthalmic manifestation"	"292503016"	"C105z"	"C105z00"	"25093002"	"42062018"	""	32
"Diabetes mellitus NOS with neurological manifestation"	"292512019"	"C106z"	"C106z00"	"422088007"	"2618195014"	""	32
"Diabetes mellitus NOS with peripheral circulatory disorder"	"292523015"	"C107z"	"C107z00"	"421895002"	"2618203015"	""	32
"Type I diabetes mellitus with ulcer"	"292538019"	"C10E5-1"	"C10E511"	"190368000"	"292538019"	""	32
"Type I diabetes mellitus with ulcer"	"84821000006118"	"C1085-1"	"C108511"	"190368000"	"292538019"	""	32
"Type 1 diabetes mellitus with ulcer"	"292540012"	"C10E5"	"C10E500"	"190368000"	"292540012"	""	32
"Type 1 diabetes mellitus with ulcer"	"84451000006112"	"C1085-2"	"C108512"	"190368000"	"292540012"	""	32
"Type 1 diabetes mellitus with gangrene"	"292541011"	"C10E6"	"C10E600"	"420825003"	"2618207019"	""	32
"Type 1 diabetes mellitus with gangrene"	"84331000006112"	"C1086-2"	"C108612"	"420825003"	"2618207019"	""	32
"Type I diabetes mellitus with gangrene"	"292543014"	"C10E6-1"	"C10E611"	"420825003"	"2618207019"	""	32
"Type I diabetes mellitus with gangrene"	"84701000006115"	"C1086-1"	"C108611"	"420825003"	"2618207019"	""	32
"Type 1 diabetes mellitus - poor control"	"292548017"	"C10E8"	"C10E800"	"444073006"	"2872487013"	""	32
"Type 1 diabetes mellitus - poor control"	"84291000006117"	"C1088-2"	"C108812"	"444073006"	"2872487013"	""	32
"Type I diabetes mellitus - poor control"	"292550013"	"C10E8-1"	"C10E811"	"444073006"	"2872487013"	""	32
"Type I diabetes mellitus maturity onset"	"292551012"	"C10E9-1"	"C10E911"	"190372001"	"292551012"	""	32
"Type I diabetes mellitus maturity onset"	"84671000006116"	"C1089-1"	"C108911"	"190372001"	"292551012"	""	32
"Type 1 diabetes mellitus maturity onset"	"292553010"	"C10E9"	"C10E900"	"190372001"	"292553010"	""	32
"Type 1 diabetes mellitus maturity onset"	"84301000006116"	"C1089-2"	"C108912"	"190372001"	"292553010"	""	32
"Type II diabetes mellitus with multiple complications"	"292576013"	"C10F3-1"	"C10F311"	"190388001"	"292576013"	""	32
"Type II diabetes mellitus with multiple complications"	"84911000006119"	"C1093-1"	"C109311"	"190388001"	"292576013"	""	32
"Type 2 diabetes mellitus with multiple complications"	"292577016"	"C10F3"	"C10F300"	"190388001"	"292577016"	""	32
"Type 2 diabetes mellitus with multiple complications"	"84541000006111"	"C1093-2"	"C109312"	"190388001"	"292577016"	""	32
"Type 2 diabetes mellitus with ulcer"	"292579018"	"C10F4"	"C10F400"	"190389009"	"292579018"	""	32
"Type 2 diabetes mellitus with ulcer"	"84631000006119"	"C1094-2"	"C109412"	"190389009"	"292579018"	""	32
"Type II diabetes mellitus with ulcer"	"292581016"	"C10F4-1"	"C10F411"	"190389009"	"292581016"	""	32
"Type II diabetes mellitus with ulcer"	"85001000006117"	"C1094-1"	"C109411"	"190389009"	"292581016"	""	32
"Type II diabetes mellitus with gangrene"	"292582011"	"C10F5-1"	"C10F511"	"421631007"	"2618206011"	""	32
"Type II diabetes mellitus with gangrene"	"84881000006119"	"C1095-1"	"C109511"	"421631007"	"2618206011"	""	32
"Type 2 diabetes mellitus with gangrene"	"292583018"	"C10F5"	"C10F500"	"421631007"	"2618206011"	""	32
"Type 2 diabetes mellitus with gangrene"	"84511000006112"	"C1095-2"	"C109512"	"421631007"	"2618206011"	""	32
"Type II diabetes mellitus - poor control"	"292589019"	"C10F7-1"	"C10F711"	"443694000"	"2921019012"	""	32
"Type II diabetes mellitus - poor control"	"84851000006110"	"C1097-1"	"C109711"	"443694000"	"2921019012"	""	32
"Type II diabetes mellitus poorly controlled"	"292590011"	"C10F7"	"C10F700"	"443694000"	"2921019012"	""	32
"Diabetes mellitus NOS with other specified manifestation"	"292621010"	"C10yz"	"C10yz00"	"73211009"	"121589010"	""	32
"Diabetes mellitus with unspecified complication"	"292622015"	"C10z"	"C10z.00"	"74627003"	"123939015"	""	32
"Diabetic complication"	"292626017"	"C10zz"	"C10zz00"	"74627003"	"123939015"	""	32
"[X]Other specified diabetes mellitus"	"293756010"	"Cyu20"	"Cyu2000"	"73211009"	"121589010"	""	32
"Diabetic mononeuritis multiplex"	"297492014"	"F3450"	"F345000"	"193141005"	"297492014"	""	32
"Diabetic mononeuritis NOS"	"297510017"	"F35z0"	"F35z000"	"193141005"	"297492014"	""	32
"Acute painful diabetic neuropathy"	"297550019"	"F3720"	"F372000"	"193183000"	"297550019"	""	32
"Chronic painful diabetic neuropathy"	"297551015"	"F3721"	"F372100"	"193184006"	"297551015"	""	32
"Asymptomatic diabetic neuropathy"	"297552010"	"F3722"	"F372200"	"193185007"	"297552010"	""	32
"Preproliferative diabetic retinopathy"	"297754014"	"F4202"	"F420200"	"193349004"	"297754014"	""	32
"Advanced diabetic maculopathy"	"297755010"	"F4203"	"F420300"	"193350004"	"297755010"	""	32
"Diabetic retinopathy NOS"	"297758012"	"F420z"	"F420z00"	"4855003"	"9093013"	""	32
"Diabetic iritis"	"297964010"	"F4407"	"F440700"	"193489006"	"297964010"	""	32
"Nephrotic syndrome in diabetes mellitus"	"303846016"	"K01x1"	"K01x100"	"197605007"	"303846016"	""	32
"Diabetic glomerulopathy"	"305158015"	"Kyu03"	"Kyu0300"	"309426007"	"452844015"	""	32
"Pre-existing diabetes mellitus, non-insulin-dependent"	"306113018"	"L1806"	"L180600"	"199230006"	"306113018"	""	32
"Pre-existing diabetes mellitus"	"308110013"	"Lyu29"	"Lyu2900"	"385051000000106"	"760131000000111"	""	32
"Cellulitis in diabetic foot"	"308360012"	"M0372"	"M037200"	"200687002"	"308360012"	""	32
"Ischaemic ulcer diabetic foot"	"309177010"	"M2710"	"M271000"	"201250006"	"309177010"	""	32
"Neuropathic diabetic ulcer - foot"	"309179013"	"M2711"	"M271100"	"201251005"	"309179013"	""	32
"Mixed diabetic ulcer - foot"	"309180011"	"M2712"	"M271200"	"201252003"	"309180011"	""	32
"Diabetic cheiroarthropathy"	"309737011"	"N0300"	"N030000"	"201723002"	"309737011"	""	32
"Diabetic cheiropathy"	"309738018"	"N0300-1"	"N030011"	"201723002"	"309738018"	""	32
"[D]Gangrene of toe in diabetic"	"317347010"	"R0542"	"R054200"	"195302000"	"300505017"	""	32
"[D]Widespread diabetic foot gangrene"	"317348017"	"R0543"	"R054300"	"195303005"	"300506016"	""	32
"Adverse reaction to insulins and antidiabetic agents NOS"	"330806013"	"TJ23z"	"TJ23z00"	"430400006"	"2708697011"	""	5
"Diabetic neuropathy"	"345486016"	"F372-2"	"F372.12"	"230572002"	"345486016"	""	32
"Diabetes mellitus with neuropathy"	"345487013"	"C106-2"	"C106.12"	"230572002"	"345487013"	""	32
"Diabetic mononeuropathy"	"345492010"	"F3y0"	"F3y0.00"	"230577008"	"345492010"	""	32
"Diabetic maculopathy"	"347657010"	"F4204"	"F420400"	"232020009"	"347657010"	""	32
"Clinical diabetic nephropathy"	"354508018"	"K08yA-1"	"K08yA11"	"236500003"	"354508018"	""	32
"Proteinuric diabetic nephropathy"	"354509014"	"K08yA"	"K08yA00"	"236500003"	"354509014"	""	32
"Maturity onset diabetes in youth type 2"	"356085010"	"C10D-1"	"C10D.11"	"237604008"	"356085010"	""	32
"Myasthenic syndrome due to diabetic amyotrophy"	"399419012"	"F3813"	"F381300"	"267604001"	"399419012"	""	32
"Diabetic - poor control"	"401531012"	"66AJ"	"66AJ.00"	"268519009"	"401531012"	""	27
"Haemoglobin A1C - diabetic control interpretation"	"404444016"	"42W"	"42W..00"	"269823000"	"1206383011"	""	11
"Diabetes monitored"	"405057014"	"9OLA-1"	"9OLA.11"	"270445003"	"405057014"	""	37
"DTSQs (Diabetes Treatment Satisfaction Questionnaire status version) score"	"408811014"	"3883"	"3883.00"	"765147009"	"3657199015"	""	3
"Unstable diabetes"	"411891014"	"66AJ-1"	"66AJ.11"	"11530004"	"19931010"	""	27
"Unstable type I diabetes mellitus"	"429970018"	"C10E4-1"	"C10E411"	"290002008"	"429970018"	""	32
"Unstable type I diabetes mellitus"	"72721000006113"	"C1084-1"	"C108411"	"290002008"	"429970018"	""	32
"Unstable type 1 diabetes mellitus"	"429971019"	"C10E4"	"C10E400"	"290002008"	"429971019"	""	32
"Unstable type 1 diabetes mellitus"	"72711000006117"	"C1084-2"	"C108412"	"290002008"	"429971019"	""	32
"Seen by diabetic liaison nurse"	"448261010"	"9N2i"	"9N2i.00"	"305738006"	"448261010"	""	37
"Discharge by diabetic liaison nurse"	"449540010"	"ESCTDI1"	""	"306499007"	"449540010"	""	40
"Haemoglobin A1C - diabetic control finding"	"453910015"	"42c"	"42c..00"	"365845005"	"1206639010"	""	11
"Advanced diabetic retinal disease"	"455408014"	"F4205"	"F420500"	"311782002"	"455408014"	""	32
"Referral to diabetes nurse"	"456646018"	"8H7f"	"8H7f.00"	"312856000"	"456646018"	""	40
"Attending diabetes clinic"	"456686014"	"9NM0"	"9NM0.00"	"312888008"	"456686014"	""	37
"[V]Admitted for conversion to insulin"	"457156014"	"ZV6DB"	"ZV6DB00"	"876361000000109"	"2262341000000113"	""	1
"[V]Admitted for commencement of insulin"	"457157017"	"ZV6DA"	"ZV6DA00"	"345041000000101"	"646031000000112"	""	1
"Seen in diabetic eye clinic"	"457231013"	"9N1v"	"9N1v.00"	"313340009"	"457231013"	""	37
"Type I diabetes mellitus without complication"	"457325013"	"C10EA-1"	"C10EA11"	"313435000"	"457325013"	""	32
"Type I diabetes mellitus without complication"	"84831000006115"	"C108A-1"	"C108A11"	"313435000"	"457325013"	""	32
"Type 1 diabetes mellitus without complication"	"457326014"	"C10EA"	"C10EA00"	"313435000"	"457326014"	""	32
"Type 1 diabetes mellitus without complication"	"84461000006114"	"C108A-2"	"C108A12"	"313435000"	"457326014"	""	32
"Type 1 diabetes mellitus without complication"	"616621000006115"	"C1000"	"C100000"	"313435000"	"457326014"	""	32
"Non-insulin-dependent diabetes mellitus without complication"	"457328010"	"C1099"	"C109900"	"313436004"	"457328010"	""	32
"Type 2 diabetes mellitus without complication"	"457329019"	"C10F9"	"C10F900"	"313436004"	"457329019"	""	32
"Type 2 diabetes mellitus without complication"	"84641000006112"	"C1099-2"	"C109912"	"313436004"	"457329019"	""	32
"Type II diabetes mellitus without complication"	"457330012"	"C10F9-1"	"C10F911"	"313436004"	"457330012"	""	32
"Type II diabetes mellitus without complication"	"85011000006119"	"C1099-1"	"C109911"	"313436004"	"457330012"	""	32
"Diabetic on insulin and oral treatment"	"458512016"	"66AV"	"66AV.00"	"314194001"	"458512016"	""	1
"Type 1 diabetes mellitus with hypoglycaemic coma"	"459161015"	"C10EE"	"C10EE00"	"314771006"	"459161015"	""	32
"Type 1 diabetes mellitus with hypoglycaemic coma"	"84341000006119"	"C108E-2"	"C108E12"	"314771006"	"459161015"	""	32
"Type I diabetes mellitus with hypoglycaemic coma"	"459163017"	"C10EE-1"	"C10EE11"	"314771006"	"459163017"	""	32
"Type I diabetes mellitus with hypoglycaemic coma"	"84711000006117"	"C108E-1"	"C108E11"	"314771006"	"459163017"	""	32
"Type 2 diabetes mellitus with hypoglycaemic coma"	"459167016"	"C10FD"	"C10FD00"	"719216001"	"3316336015"	""	32
"Type 2 diabetes mellitus with hypoglycaemic coma"	"84521000006116"	"C109D-2"	"C109D12"	"719216001"	"3316336015"	""	32
"Hypoglycaemic coma co-occurrent and due to diabetes mellitus type II"	"459169018"	"C10FD-1"	"C10FD11"	"719216001"	"3316336015"	""	32
"Type 1 diabetes mellitus with arthropathy"	"459292011"	"C10EH"	"C10EH00"	"314893005"	"459292011"	""	32
"Type 1 diabetes mellitus with arthropathy"	"84311000006118"	"C108H-2"	"C108H12"	"314893005"	"459292011"	""	32
"Type I diabetes mellitus with arthropathy"	"459294012"	"C10EH-1"	"C10EH11"	"314893005"	"459294012"	""	32
